Wire,Plane,TPC
546,0,0
607,0,0
797,1,0
1248,1,0
1249,1,0
1250,1,0
1251,1,0
1252,1,0
1253,1,0
1254,1,0
1255,1,0
1256,1,0
1257,1,0
1258,1,0
1259,1,0
1260,1,0
1261,1,0
1262,1,0
1263,1,0
1264,1,0
1265,1,0
1266,1,0
1267,1,0
1268,1,0
1269,1,0
1270,1,0
1271,1,0
1272,1,0
1273,1,0
1274,1,0
1275,1,0
1276,1,0
1277,1,0
1278,1,0
1279,1,0
192,2,0
193,2,0
194,2,0
195,2,0
196,2,0
197,2,0
198,2,0
199,2,0
200,2,0
201,2,0
202,2,0
203,2,0
204,2,0
205,2,0
206,2,0
207,2,0
208,2,0
209,2,0
210,2,0
211,2,0
212,2,0
213,2,0
214,2,0
215,2,0
216,2,0
217,2,0
218,2,0
219,2,0
220,2,0
221,2,0
222,2,0
223,2,0
406,2,0
832,2,0
833,2,0
834,2,0
835,2,0
836,2,0
837,2,0
1092,2,0
1263,2,0
1668,2,0
1669,2,0
1529,0,1
1531,0,1
756,1,1
773,1,1
952,1,1
406,2,1
832,2,1
833,2,1
834,2,1
835,2,1
836,2,1
837,2,1
1263,2,1
1541,2,1
